# ###########
# [default parameters]
#   OrderedDict([('NL', '20'), ('NR', '20'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TL', '10.'), ('TR', '10.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nL', 'nR', 'commL', 'commR', 'dotQL', 'dotQR']
# ###########
# 
-4.000000e+00 1.520970e-06 1.520970e-06 1.540669e+00 2.808730e+00 9.994106e-01 9.826074e-01 2.152910e-08 1.363996e-08
-3.996800e+00 1.523594e-06 1.523594e-06 1.540673e+00 2.808740e+00 9.994106e-01 9.826071e-01 2.270533e-08 1.458046e-08
-3.993600e+00 1.526267e-06 1.526267e-06 1.540682e+00 2.808742e+00 9.994105e-01 9.826065e-01 2.484181e-08 1.492195e-08
-3.990400e+00 1.529001e-06 1.529001e-06 1.540687e+00 2.808758e+00 9.994105e-01 9.826061e-01 2.620958e-08 1.648336e-08
-3.987200e+00 1.531812e-06 1.531812e-06 1.540698e+00 2.808766e+00 9.994105e-01 9.826058e-01 2.893160e-08 1.726128e-08
-3.984000e+00 1.534719e-06 1.534719e-06 1.540712e+00 2.808772e+00 9.994104e-01 9.826048e-01 3.235676e-08 1.806930e-08
-3.980800e+00 1.537749e-06 1.537749e-06 1.540723e+00 2.808796e+00 9.994104e-01 9.826042e-01 3.518369e-08 2.043408e-08
-3.977600e+00 1.540943e-06 1.540943e-06 1.540746e+00 2.808800e+00 9.994102e-01 9.826031e-01 4.107425e-08 2.101240e-08
-3.974400e+00 1.544357e-06 1.544357e-06 1.540762e+00 2.808842e+00 9.994102e-01 9.826013e-01 4.498792e-08 2.531116e-08
-3.971200e+00 1.548079e-06 1.548079e-06 1.540792e+00 2.808871e+00 9.994100e-01 9.825995e-01 5.259306e-08 2.836308e-08
-3.968000e+00 1.552243e-06 1.552243e-06 1.540828e+00 2.808919e+00 9.994099e-01 9.825960e-01 6.158269e-08 3.357713e-08
-3.964800e+00 1.557074e-06 1.557074e-06 1.540888e+00 2.808958e+00 9.994096e-01 9.825925e-01 7.674500e-08 3.798281e-08
-3.961600e+00 1.562967e-06 1.562967e-06 1.540968e+00 2.809029e+00 9.994092e-01 9.825873e-01 9.706577e-08 4.580157e-08
-3.958400e+00 1.570683e-06 1.570683e-06 1.541131e+00 2.809026e+00 9.994081e-01 9.825794e-01 1.381997e-07 4.756206e-08
-3.955200e+00 1.581907e-06 1.581907e-06 1.541317e+00 2.809236e+00 9.994072e-01 9.825574e-01 1.850066e-07 7.211345e-08
-3.952000e+00 1.601314e-06 1.601314e-06 1.541809e+00 2.809273e+00 9.994041e-01 9.825178e-01 3.093556e-07 8.560174e-08
-3.948800e+00 1.648995e-06 1.648995e-06 1.543382e+00 2.808526e+00 9.993956e-01 9.823682e-01 7.058654e-07 5.692924e-08
-3.945600e+00 1.928169e-06 1.928169e-06 1.554527e+00 2.798545e+00 9.993534e-01 9.810157e-01 3.508490e-06 -4.934833e-07
-3.942400e+00 2.009984e-06 2.009984e-06 1.556035e+00 2.802976e+00 9.992407e-01 9.817047e-01 3.928852e-06 -2.716857e-07
-3.939200e+00 2.738230e-06 2.738230e-06 1.567134e+00 2.835472e+00 9.992171e-01 9.809803e-01 6.713104e-06 2.839541e-06
-3.936000e+00 3.311416e-05 3.311416e-05 2.192437e+00 3.764622e+00 9.978146e-01 9.557998e-01 1.635671e-04 9.293219e-05
-3.932800e+00 2.333889e-06 2.333889e-06 1.556891e+00 2.830093e+00 9.993537e-01 9.818169e-01 4.098024e-06 2.139083e-06
-3.929600e+00 1.781114e-06 1.781114e-06 1.545075e+00 2.814583e+00 9.993957e-01 9.824045e-01 1.128332e-06 5.922608e-07
-3.926400e+00 1.670121e-06 1.670121e-06 1.542592e+00 2.811554e+00 9.994039e-01 9.825106e-01 5.046087e-07 2.925111e-07
-3.923200e+00 1.631627e-06 1.631627e-06 1.541762e+00 2.810287e+00 9.994068e-01 9.825542e-01 2.961420e-07 1.672947e-07
-3.920000e+00 1.614846e-06 1.614846e-06 1.541349e+00 2.809748e+00 9.994083e-01 9.825728e-01 1.923990e-07 1.140216e-07
-3.916800e+00 1.606770e-06 1.606770e-06 1.541139e+00 2.809409e+00 9.994090e-01 9.825843e-01 1.396347e-07 8.058065e-08
-3.913600e+00 1.602855e-06 1.602855e-06 1.541002e+00 2.809228e+00 9.994094e-01 9.825905e-01 1.050941e-07 6.274798e-08
-3.910400e+00 1.601178e-06 1.601178e-06 1.540934e+00 2.809048e+00 9.994095e-01 9.825946e-01 8.821345e-08 4.544083e-08
-3.907200e+00 1.600813e-06 1.600813e-06 1.540858e+00 2.809009e+00 9.994099e-01 9.825980e-01 6.906018e-08 4.105493e-08
-3.904000e+00 1.601270e-06 1.601270e-06 1.540813e+00 2.808950e+00 9.994101e-01 9.825994e-01 5.773795e-08 3.548254e-08
-3.900800e+00 1.602269e-06 1.602269e-06 1.540780e+00 2.808911e+00 9.994102e-01 9.826016e-01 4.936952e-08 3.132017e-08
-3.897600e+00 1.603639e-06 1.603639e-06 1.540760e+00 2.808863e+00 9.994103e-01 9.826029e-01 4.439956e-08 2.674335e-08
-3.894400e+00 1.605274e-06 1.605274e-06 1.540742e+00 2.808835e+00 9.994104e-01 9.826042e-01 3.984577e-08 2.386054e-08
-3.891200e+00 1.607102e-06 1.607102e-06 1.540728e+00 2.808809e+00 9.994104e-01 9.826044e-01 3.629599e-08 2.150812e-08
-3.888000e+00 1.609077e-06 1.609077e-06 1.540716e+00 2.808790e+00 9.994104e-01 9.826052e-01 3.349794e-08 1.954687e-08
-3.884800e+00 1.611165e-06 1.611165e-06 1.540706e+00 2.808778e+00 9.994105e-01 9.826058e-01 3.078696e-08 1.836731e-08
-3.881600e+00 1.613341e-06 1.613341e-06 1.540697e+00 2.808768e+00 9.994105e-01 9.826061e-01 2.859723e-08 1.733877e-08
-3.878400e+00 1.615588e-06 1.615588e-06 1.540687e+00 2.808767e+00 9.994106e-01 9.826066e-01 2.610056e-08 1.714570e-08
-3.875200e+00 1.617892e-06 1.617892e-06 1.540682e+00 2.808757e+00 9.994106e-01 9.826070e-01 2.481565e-08 1.616206e-08
-3.872000e+00 1.620244e-06 1.620244e-06 1.540678e+00 2.808746e+00 9.994106e-01 9.826071e-01 2.386361e-08 1.518550e-08
-3.868800e+00 1.622637e-06 1.622637e-06 1.540673e+00 2.808743e+00 9.994106e-01 9.826073e-01 2.260199e-08 1.479593e-08
-3.865600e+00 1.625063e-06 1.625063e-06 1.540669e+00 2.808739e+00 9.994106e-01 9.826077e-01 2.164901e-08 1.432643e-08
-3.862400e+00 1.627519e-06 1.627519e-06 1.540665e+00 2.808736e+00 9.994106e-01 9.826077e-01 2.067937e-08 1.406379e-08
-3.859200e+00 1.630001e-06 1.630001e-06 1.540663e+00 2.808730e+00 9.994107e-01 9.826081e-01 2.020196e-08 1.346847e-08
-3.856000e+00 1.632505e-06 1.632505e-06 1.540661e+00 2.808726e+00 9.994107e-01 9.826082e-01 1.968192e-08 1.305063e-08
-3.852800e+00 1.635030e-06 1.635030e-06 1.540658e+00 2.808725e+00 9.994107e-01 9.826082e-01 1.892637e-08 1.298307e-08
-3.849600e+00 1.637573e-06 1.637573e-06 1.540656e+00 2.808722e+00 9.994107e-01 9.826083e-01 1.845852e-08 1.272614e-08
-3.846400e+00 1.640132e-06 1.640132e-06 1.540655e+00 2.808718e+00 9.994107e-01 9.826084e-01 1.820659e-08 1.233803e-08
-3.843200e+00 1.642707e-06 1.642707e-06 1.540654e+00 2.808717e+00 9.994107e-01 9.826085e-01 1.781192e-08 1.216609e-08
-3.840000e+00 1.645297e-06 1.645297e-06 1.540654e+00 2.808712e+00 9.994107e-01 9.826086e-01 1.776803e-08 1.170737e-08
-3.836800e+00 1.647899e-06 1.647899e-06 1.540652e+00 2.808712e+00 9.994107e-01 9.826086e-01 1.734524e-08 1.168355e-08
-3.833600e+00 1.650514e-06 1.650514e-06 1.540649e+00 2.808715e+00 9.994107e-01 9.826085e-01 1.657795e-08 1.205351e-08
-3.830400e+00 1.653140e-06 1.653140e-06 1.540650e+00 2.808709e+00 9.994107e-01 9.826087e-01 1.685931e-08 1.141832e-08
-3.827200e+00 1.655778e-06 1.655778e-06 1.540649e+00 2.808710e+00 9.994107e-01 9.826088e-01 1.650371e-08 1.145869e-08
-3.824000e+00 1.658426e-06 1.658426e-06 1.540648e+00 2.808709e+00 9.994107e-01 9.826088e-01 1.629725e-08 1.138428e-08
-3.820800e+00 1.661085e-06 1.661085e-06 1.540647e+00 2.808709e+00 9.994107e-01 9.826088e-01 1.601271e-08 1.141864e-08
-3.817600e+00 1.663753e-06 1.663753e-06 1.540647e+00 2.808707e+00 9.994107e-01 9.826089e-01 1.604420e-08 1.116450e-08
-3.814400e+00 1.666431e-06 1.666431e-06 1.540646e+00 2.808705e+00 9.994107e-01 9.826089e-01 1.598238e-08 1.102844e-08
