# ###########
# [default parameters]
#   OrderedDict([('NL', '10'), ('NR', '10'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
7.016800e-01 2.524418e-05 2.524418e-05 -2.154223e-08 -1.583463e-08 5.811346e-01 1.190896e+00 2.524418e-01 2.524418e-01 -1.018538e-07 -5.267752e-08 6.555571e-08 8.897556e-08 9.740112e-07 9.992226e-01 9.795467e-01
7.017600e-01 2.524184e-05 2.524184e-05 -2.175199e-08 -1.544304e-08 5.811303e-01 1.190892e+00 2.524184e-01 2.524184e-01 -1.029390e-07 -5.304231e-08 6.627893e-08 8.970240e-08 9.883732e-07 9.992227e-01 9.795468e-01
7.018400e-01 2.523953e-05 2.523953e-05 -2.354614e-08 -1.238420e-08 5.810943e-01 1.190955e+00 2.523953e-01 2.523953e-01 -1.119488e-07 -4.557583e-08 6.704771e-08 9.047688e-08 1.314861e-06 9.992228e-01 9.795301e-01
7.019200e-01 2.523725e-05 2.523725e-05 -2.301078e-08 -1.317196e-08 5.811049e-01 1.190916e+00 2.523725e-01 2.523725e-01 -1.093136e-07 -4.984098e-08 6.786160e-08 9.129302e-08 1.178271e-06 9.992228e-01 9.795367e-01
7.020000e-01 2.523501e-05 2.523501e-05 -2.407051e-08 -1.126254e-08 5.810835e-01 1.190938e+00 2.523501e-01 2.523501e-01 -1.146571e-07 -4.624132e-08 6.873138e-08 9.216701e-08 1.355572e-06 9.992229e-01 9.795224e-01
7.020800e-01 2.523282e-05 2.523282e-05 -2.548648e-08 -8.712868e-09 5.810551e-01 1.190979e+00 2.523282e-01 2.523282e-01 -1.217851e-07 -4.097350e-08 6.965916e-08 9.309941e-08 1.601319e-06 9.992230e-01 9.795080e-01
7.021600e-01 2.523067e-05 2.523067e-05 -2.685205e-08 -6.189776e-09 5.810277e-01 1.191016e+00 2.523067e-01 2.523067e-01 -1.286649e-07 -3.608757e-08 7.065396e-08 9.409852e-08 1.834619e-06 9.992232e-01 9.794935e-01
7.022400e-01 2.522857e-05 2.522857e-05 -2.631364e-08 -6.771120e-09 5.810382e-01 1.190964e+00 2.522857e-01 2.522857e-01 -1.260291e-07 -4.085281e-08 7.171802e-08 9.516388e-08 1.688092e-06 9.992232e-01 9.794944e-01
7.023200e-01 2.522653e-05 2.522653e-05 -2.843268e-08 -2.845638e-09 5.809957e-01 1.191033e+00 2.522653e-01 2.522653e-01 -1.366854e-07 -3.249687e-08 7.286571e-08 9.631653e-08 2.065058e-06 9.992233e-01 9.794748e-01
7.024000e-01 2.522456e-05 2.522456e-05 -3.085991e-08 1.691702e-09 5.809470e-01 1.191112e+00 2.522456e-01 2.522456e-01 -1.488882e-07 -2.278275e-08 7.410754e-08 9.756341e-08 2.499656e-06 9.992236e-01 9.794508e-01
7.024800e-01 2.522265e-05 2.522265e-05 -2.900150e-08 -7.973372e-10 5.809838e-01 1.190990e+00 2.522265e-01 2.522265e-01 -1.396688e-07 -3.466389e-08 7.543919e-08 9.889348e-08 2.081559e-06 9.992234e-01 9.794589e-01
7.025600e-01 2.522083e-05 2.522083e-05 -3.070630e-08 2.791827e-09 5.809494e-01 1.191034e+00 2.522083e-01 2.522083e-01 -1.482728e-07 -2.897505e-08 7.689509e-08 1.003527e-07 2.365064e-06 9.992236e-01 9.794438e-01
7.026400e-01 2.521911e-05 2.521911e-05 -3.381866e-08 8.898121e-09 5.808870e-01 1.191134e+00 2.521911e-01 2.521911e-01 -1.639229e-07 -1.651218e-08 7.848631e-08 1.019488e-07 2.922601e-06 9.992239e-01 9.794116e-01
7.027200e-01 2.521748e-05 2.521748e-05 -3.382976e-08 1.004388e-08 5.808864e-01 1.191098e+00 2.521748e-01 2.521748e-01 -1.640763e-07 -1.982816e-08 8.022095e-08 1.036835e-07 2.860082e-06 9.992239e-01 9.794126e-01
7.028000e-01 2.521599e-05 2.521599e-05 -3.626849e-08 1.548821e-08 5.808374e-01 1.191145e+00 2.521599e-01 2.521599e-01 -1.763791e-07 -1.134640e-08 8.213024e-08 1.055953e-07 3.272383e-06 9.992242e-01 9.793735e-01
7.028800e-01 2.521463e-05 2.521463e-05 -3.846237e-08 2.083203e-08 5.807931e-01 1.191196e+00 2.521463e-01 2.521463e-01 -1.874707e-07 -4.460197e-09 8.423197e-08 1.076990e-07 3.629055e-06 9.992243e-01 9.793524e-01
7.029600e-01 2.521342e-05 2.521342e-05 -3.790623e-08 2.197601e-08 5.808036e-01 1.191105e+00 2.521342e-01 2.521342e-01 -1.848277e-07 -1.174617e-08 8.655502e-08 1.100189e-07 3.432330e-06 9.992242e-01 9.793442e-01
7.030400e-01 2.521242e-05 2.521242e-05 -4.271618e-08 3.254777e-08 5.807070e-01 1.191253e+00 2.521242e-01 2.521242e-01 -2.090346e-07 7.240935e-09 8.916294e-08 1.126307e-07 4.289066e-06 9.992247e-01 9.792931e-01
7.031200e-01 2.521164e-05 2.521164e-05 -4.621455e-08 4.152608e-08 5.806365e-01 1.191330e+00 2.521164e-01 2.521164e-01 -2.267058e-07 1.908865e-08 9.207432e-08 1.155428e-07 4.874623e-06 9.992249e-01 9.792475e-01
7.032000e-01 2.521110e-05 2.521110e-05 -4.312457e-08 4.026374e-08 5.806974e-01 1.191070e+00 2.521110e-01 2.521110e-01 -2.114621e-07 -2.660671e-09 9.533242e-08 1.187904e-07 4.141061e-06 9.992249e-01 9.792325e-01
7.032800e-01 2.521089e-05 2.521089e-05 -5.109095e-08 5.838267e-08 5.805373e-01 1.191344e+00 2.521089e-01 2.521089e-01 -2.515346e-07 2.996984e-08 9.905101e-08 1.225137e-07 5.582993e-06 9.992252e-01 9.791595e-01
7.033600e-01 2.521105e-05 2.521105e-05 -5.282198e-08 6.732247e-08 5.805018e-01 1.191314e+00 2.521105e-01 2.521105e-01 -2.604719e-07 3.044310e-08 1.032862e-07 1.267427e-07 5.769594e-06 9.992256e-01 9.791314e-01
7.034400e-01 2.521164e-05 2.521164e-05 -6.142424e-08 8.924089e-08 5.803287e-01 1.191542e+00 2.521164e-01 2.521164e-01 -3.038167e-07 6.408378e-08 1.081378e-07 1.315951e-07 7.296243e-06 9.992260e-01 9.790110e-01
7.035200e-01 2.521277e-05 2.521277e-05 -6.838747e-08 1.104189e-07 5.801881e-01 1.191703e+00 2.521277e-01 2.521277e-01 -3.390316e-07 8.808529e-08 1.137463e-07 1.372000e-07 8.470249e-06 9.992266e-01 9.789244e-01
7.036000e-01 2.521451e-05 2.521451e-05 -7.051574e-08 1.260241e-07 5.801437e-01 1.191593e+00 2.521451e-01 2.521451e-01 -3.501507e-07 8.629006e-08 1.202106e-07 1.436500e-07 8.654555e-06 9.992267e-01 9.788499e-01
7.036800e-01 2.521704e-05 2.521704e-05 -7.487736e-08 1.486397e-07 5.800542e-01 1.191607e+00 2.521704e-01 2.521704e-01 -3.725399e-07 9.354703e-08 1.277837e-07 1.512091e-07 9.241508e-06 9.992266e-01 9.787953e-01
