# ###########
# [default parameters]
#   OrderedDict([('NL', '20'), ('NR', '20'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.2'), ('lambdaR', '0.2'), ('QL', '1e5'), ('QR', '1e5'), ('TL', '10.'), ('TR', '10.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nL', 'nR', 'commL', 'commR', 'dotQL', 'dotQR']
# ###########
# 
-3.875200e+00 2.600391e-06 2.600391e-06 1.561473e+00 2.835663e+00 9.993382e-01 9.815897e-01 5.241312e-06 2.694310e-06
-3.872000e+00 2.499628e-06 2.499628e-06 1.559501e+00 2.831988e+00 9.993455e-01 9.816846e-01 4.746791e-06 2.339926e-06
-3.868800e+00 2.415957e-06 2.415957e-06 1.556365e+00 2.833054e+00 9.993574e-01 9.817557e-01 3.959378e-06 2.418235e-06
-3.865600e+00 2.344592e-06 2.344592e-06 1.555697e+00 2.828405e+00 9.993567e-01 9.818525e-01 3.793750e-06 1.975509e-06
-3.862400e+00 2.284338e-06 2.284338e-06 1.554273e+00 2.826787e+00 9.993620e-01 9.819119e-01 3.436699e-06 1.815123e-06
-3.859200e+00 2.232795e-06 2.232795e-06 1.553050e+00 2.825395e+00 9.993667e-01 9.819688e-01 3.130068e-06 1.675626e-06
-3.856000e+00 2.188606e-06 2.188606e-06 1.551480e+00 2.825620e+00 9.993742e-01 9.820151e-01 2.735324e-06 1.684423e-06
-3.852800e+00 2.150052e-06 2.150052e-06 1.551336e+00 2.822407e+00 9.993729e-01 9.820786e-01 2.700648e-06 1.379313e-06
-3.849600e+00 2.116874e-06 2.116874e-06 1.549946e+00 2.823074e+00 9.993793e-01 9.821048e-01 2.351230e-06 1.432930e-06
-3.846400e+00 2.087679e-06 2.087679e-06 1.549707e+00 2.820896e+00 9.993785e-01 9.821381e-01 2.292304e-06 1.228691e-06
-3.843200e+00 2.062218e-06 2.062218e-06 1.549116e+00 2.820047e+00 9.993802e-01 9.821714e-01 2.144429e-06 1.143955e-06
-3.840000e+00 2.039839e-06 2.039839e-06 1.548693e+00 2.818996e+00 9.993828e-01 9.821989e-01 2.038368e-06 1.042637e-06
-3.836800e+00 2.020149e-06 2.020149e-06 1.548136e+00 2.818560e+00 9.993841e-01 9.822257e-01 1.898927e-06 9.967081e-07
-3.833600e+00 2.002761e-06 2.002761e-06 1.547689e+00 2.818017e+00 9.993859e-01 9.822488e-01 1.786932e-06 9.421633e-07
-3.830400e+00 1.987386e-06 1.987386e-06 1.547172e+00 2.817814e+00 9.993874e-01 9.822586e-01 1.657454e-06 9.215700e-07
-3.827200e+00 1.973743e-06 1.973743e-06 1.546935e+00 2.817021e+00 9.993884e-01 9.822799e-01 1.598215e-06 8.449172e-07
-3.824000e+00 1.961656e-06 1.961656e-06 1.546596e+00 2.816662e+00 9.993893e-01 9.823053e-01 1.513642e-06 8.063177e-07
-3.820800e+00 1.950923e-06 1.950923e-06 1.546318e+00 2.816212e+00 9.993907e-01 9.823130e-01 1.443813e-06 7.640405e-07
-3.817600e+00 1.941395e-06 1.941395e-06 1.546025e+00 2.815927e+00 9.993914e-01 9.823276e-01 1.370787e-06 7.348023e-07
-3.814400e+00 1.932941e-06 1.932941e-06 1.545736e+00 2.815724e+00 9.993925e-01 9.823386e-01 1.298242e-06 7.138498e-07
-3.811200e+00 1.925430e-06 1.925430e-06 1.545553e+00 2.815315e+00 9.993932e-01 9.823515e-01 1.252473e-06 6.738232e-07
-3.808000e+00 1.918778e-06 1.918778e-06 1.545265e+00 2.815253e+00 9.993939e-01 9.823574e-01 1.180566e-06 6.669310e-07
-3.804800e+00 1.912884e-06 1.912884e-06 1.545133e+00 2.814834e+00 9.993946e-01 9.823652e-01 1.147570e-06 6.273039e-07
-3.801600e+00 1.907683e-06 1.907683e-06 1.544942e+00 2.814655e+00 9.993952e-01 9.823784e-01 1.099910e-06 6.079880e-07
-3.798400e+00 1.903101e-06 1.903101e-06 1.544792e+00 2.814404e+00 9.993957e-01 9.823863e-01 1.062427e-06 5.835277e-07
-3.795200e+00 1.899084e-06 1.899084e-06 1.544614e+00 2.814281e+00 9.993961e-01 9.823937e-01 1.017986e-06 5.706107e-07
-3.792000e+00 1.895576e-06 1.895576e-06 1.544509e+00 2.814004e+00 9.993967e-01 9.824018e-01 9.916281e-07 5.437418e-07
-3.788800e+00 1.892538e-06 1.892538e-06 1.544319e+00 2.813994e+00 9.993974e-01 9.824067e-01 9.442985e-07 5.416517e-07
-3.785600e+00 1.889916e-06 1.889916e-06 1.544225e+00 2.813761e+00 9.993975e-01 9.824140e-01 9.209111e-07 5.189880e-07
-3.782400e+00 1.887684e-06 1.887684e-06 1.544126e+00 2.813573e+00 9.993980e-01 9.824191e-01 8.961852e-07 5.008117e-07
-3.779200e+00 1.885809e-06 1.885809e-06 1.544016e+00 2.813444e+00 9.993985e-01 9.824231e-01 8.686445e-07 4.883275e-07
-3.776000e+00 1.884259e-06 1.884259e-06 1.543899e+00 2.813359e+00 9.993988e-01 9.824259e-01 8.395102e-07 4.800534e-07
-3.772800e+00 1.883018e-06 1.883018e-06 1.543679e+00 2.813593e+00 9.993999e-01 9.824291e-01 7.842247e-07 5.004084e-07
-3.769600e+00 1.882036e-06 1.882036e-06 1.543735e+00 2.813097e+00 9.993994e-01 9.824394e-01 7.986319e-07 4.531478e-07
-3.766400e+00 1.881325e-06 1.881325e-06 1.543530e+00 2.813319e+00 9.994004e-01 9.824365e-01 7.471253e-07 4.739730e-07
-3.763200e+00 1.880836e-06 1.880836e-06 1.543576e+00 2.812888e+00 9.993999e-01 9.824445e-01 7.589196e-07 4.332665e-07
-3.760000e+00 1.880575e-06 1.880575e-06 1.543462e+00 2.812909e+00 9.994002e-01 9.824472e-01 7.305635e-07 4.345231e-07
-3.756800e+00 1.880516e-06 1.880516e-06 1.543435e+00 2.812710e+00 9.994004e-01 9.824508e-01 7.238215e-07 4.157634e-07
-3.753600e+00 1.880647e-06 1.880647e-06 1.543347e+00 2.812691e+00 9.994006e-01 9.824529e-01 7.019627e-07 4.136307e-07
-3.750400e+00 1.880955e-06 1.880955e-06 1.543286e+00 2.812614e+00 9.994009e-01 9.824545e-01 6.866903e-07 4.063058e-07
-3.747200e+00 1.881428e-06 1.881428e-06 1.543218e+00 2.812569e+00 9.994011e-01 9.824568e-01 6.699066e-07 4.017851e-07
-3.744000e+00 1.882055e-06 1.882055e-06 1.543172e+00 2.812486e+00 9.994013e-01 9.824613e-01 6.584017e-07 3.931920e-07
-3.740800e+00 1.882827e-06 1.882827e-06 1.543131e+00 2.812392e+00 9.994015e-01 9.824630e-01 6.481963e-07 3.844236e-07
