# ###########
# [default parameters]
#   OrderedDict([('NL', '10'), ('NR', '10'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-7.000000e-01 2.528146e-05 2.528146e-05 3.548860e-08 7.291011e-08 5.821887e-01 1.193589e+00 2.528146e-01 2.528146e-01 1.581164e-07 1.870520e-07 -1.345990e-07 -2.105694e-07 5.722699e-07 9.992155e-01 9.794193e-01
-7.000800e-01 2.527897e-05 2.527897e-05 3.611886e-08 7.217904e-08 5.822014e-01 1.193564e+00 2.527897e-01 2.527897e-01 1.613001e-07 1.848942e-07 -1.351104e-07 -2.110839e-07 4.666737e-07 9.992154e-01 9.794181e-01
-7.001600e-01 2.527648e-05 2.527648e-05 3.686945e-08 7.125695e-08 5.822164e-01 1.193536e+00 2.527648e-01 2.527648e-01 1.650869e-07 1.821649e-07 -1.356376e-07 -2.116141e-07 3.378238e-07 9.992151e-01 9.794200e-01
-7.002400e-01 2.527401e-05 2.527401e-05 3.626357e-08 7.260853e-08 5.822045e-01 1.193570e+00 2.527401e-01 2.527401e-01 1.620928e-07 1.862568e-07 -1.361844e-07 -2.121652e-07 4.780413e-07 9.992153e-01 9.794107e-01
-7.003200e-01 2.527155e-05 2.527155e-05 3.865541e-08 6.896895e-08 5.822523e-01 1.193470e+00 2.527155e-01 2.527155e-01 1.740886e-07 1.753801e-07 -1.367432e-07 -2.127255e-07 2.555131e-08 9.992149e-01 9.794278e-01
-7.004000e-01 2.526911e-05 2.526911e-05 4.011953e-08 6.688850e-08 5.822817e-01 1.193409e+00 2.526911e-01 2.526911e-01 1.814475e-07 1.691815e-07 -1.373222e-07 -2.133068e-07 -2.427085e-07 9.992149e-01 9.794345e-01
-7.004800e-01 2.526668e-05 2.526668e-05 3.788163e-08 7.099663e-08 5.822372e-01 1.193528e+00 2.526668e-01 2.526668e-01 1.702981e-07 1.815471e-07 -1.379272e-07 -2.139180e-07 2.226049e-07 9.992151e-01 9.794189e-01
-7.005600e-01 2.526426e-05 2.526426e-05 4.051104e-08 6.699537e-08 5.822898e-01 1.193402e+00 2.526426e-01 2.526426e-01 1.834869e-07 1.695906e-07 -1.385431e-07 -2.145344e-07 -2.750179e-07 9.992148e-01 9.794249e-01
-7.006400e-01 2.526186e-05 2.526186e-05 4.096058e-08 6.664455e-08 5.822990e-01 1.193404e+00 2.526186e-01 2.526186e-01 1.857783e-07 1.685865e-07 -1.391848e-07 -2.151800e-07 -3.402707e-07 9.992149e-01 9.794353e-01
-7.007200e-01 2.525948e-05 2.525948e-05 3.966841e-08 6.921288e-08 5.822734e-01 1.193472e+00 2.525948e-01 2.525948e-01 1.793631e-07 1.763395e-07 -1.398513e-07 -2.158513e-07 -5.984976e-08 9.992149e-01 9.794204e-01
