# ###########
# [default parameters]
#   OrderedDict([('NL', '25'), ('NR', '25'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
7.000000e-01 2.529533e-05 2.529533e-05 -1.229999e-08 -2.872521e-08 5.817738e-01 1.215520e+00 2.529533e-01 2.529533e-01 -5.520320e-08 -7.479640e-08 5.327207e-08 7.672754e-08 -3.872889e-07 1.000000e+00 9.999931e-01
7.000400e-01 2.529397e-05 2.529397e-05 -1.268243e-08 -2.818247e-08 5.817661e-01 1.215539e+00 2.529397e-01 2.529397e-01 -5.712051e-08 -7.308717e-08 5.337455e-08 7.683313e-08 -3.156218e-07 1.000000e+00 9.999929e-01
7.000800e-01 2.529261e-05 2.529261e-05 -1.205220e-08 -2.932788e-08 5.817787e-01 1.215502e+00 2.529261e-01 2.529261e-01 -5.397454e-08 -7.643962e-08 5.347705e-08 7.693711e-08 -4.441035e-07 1.000000e+00 9.999929e-01
7.001200e-01 2.529125e-05 2.529125e-05 -1.235007e-08 -2.892812e-08 5.817727e-01 1.215516e+00 2.529125e-01 2.529125e-01 -5.546924e-08 -7.515706e-08 5.358164e-08 7.704467e-08 -3.892219e-07 1.000000e+00 9.999929e-01
7.001600e-01 2.528990e-05 2.528990e-05 -1.304897e-08 -2.785987e-08 5.817587e-01 1.215553e+00 2.528990e-01 2.528990e-01 -5.896915e-08 -7.187294e-08 5.368772e-08 7.715437e-08 -2.551174e-07 1.000000e+00 9.999929e-01
7.002000e-01 2.528854e-05 2.528854e-05 -1.332783e-08 -2.748938e-08 5.817531e-01 1.215566e+00 2.528854e-01 2.528854e-01 -6.036897e-08 -7.068972e-08 5.379455e-08 7.726414e-08 -2.040597e-07 1.000000e+00 9.999931e-01
7.002400e-01 2.528719e-05 2.528719e-05 -1.295570e-08 -2.820114e-08 5.817605e-01 1.215543e+00 2.528719e-01 2.528719e-01 -5.851391e-08 -7.276165e-08 5.390204e-08 7.737352e-08 -2.817187e-07 1.000000e+00 9.999931e-01
7.002800e-01 2.528583e-05 2.528583e-05 -1.269107e-08 -2.873169e-08 5.817658e-01 1.215526e+00 2.528583e-01 2.528583e-01 -5.719650e-08 -7.429910e-08 5.401103e-08 7.748458e-08 -3.381854e-07 1.000000e+00 9.999930e-01
7.003200e-01 2.528448e-05 2.528448e-05 -1.286888e-08 -2.852225e-08 5.817622e-01 1.215533e+00 2.528448e-01 2.528448e-01 -5.809138e-08 -7.362827e-08 5.412167e-08 7.759798e-08 -3.072415e-07 1.000000e+00 9.999930e-01
7.003600e-01 2.528313e-05 2.528313e-05 -1.347396e-08 -2.759827e-08 5.817501e-01 1.215565e+00 2.528313e-01 2.528313e-01 -6.112276e-08 -7.082500e-08 5.423399e-08 7.771377e-08 -1.918718e-07 1.000000e+00 9.999931e-01
7.004000e-01 2.528178e-05 2.528178e-05 -1.300556e-08 -2.846037e-08 5.817594e-01 1.215536e+00 2.528178e-01 2.528178e-01 -5.878683e-08 -7.338834e-08 5.434684e-08 7.782834e-08 -2.887754e-07 1.000000e+00 9.999930e-01
7.004400e-01 2.528043e-05 2.528043e-05 -1.393014e-08 -2.699973e-08 5.817409e-01 1.215585e+00 2.528043e-01 2.528043e-01 -6.341599e-08 -6.899414e-08 5.446234e-08 7.794779e-08 -1.103253e-07 1.000000e+00 9.999931e-01
7.004800e-01 2.527908e-05 2.527908e-05 -1.377064e-08 -2.734315e-08 5.817441e-01 1.215574e+00 2.527908e-01 2.527908e-01 -6.262484e-08 -7.001954e-08 5.457835e-08 7.806603e-08 -1.462611e-07 1.000000e+00 9.999932e-01
7.005200e-01 2.527774e-05 2.527774e-05 -1.335504e-08 -2.811247e-08 5.817524e-01 1.215548e+00 2.527774e-01 2.527774e-01 -6.055329e-08 -7.232771e-08 5.469576e-08 7.818524e-08 -2.329010e-07 1.000000e+00 9.999931e-01
7.005600e-01 2.527639e-05 2.527639e-05 -1.354265e-08 -2.787559e-08 5.817486e-01 1.215556e+00 2.527639e-01 2.527639e-01 -6.149792e-08 -7.162474e-08 5.481521e-08 7.830745e-08 -2.003217e-07 1.000000e+00 9.999931e-01
7.006000e-01 2.527505e-05 2.527505e-05 -1.364838e-08 -2.777487e-08 5.817464e-01 1.215559e+00 2.527505e-01 2.527505e-01 -6.203331e-08 -7.133414e-08 5.493629e-08 7.843116e-08 -1.839923e-07 1.000000e+00 9.999931e-01
7.006400e-01 2.527370e-05 2.527370e-05 -1.374042e-08 -2.769662e-08 5.817446e-01 1.215561e+00 2.527370e-01 2.527370e-01 -6.250037e-08 -7.111503e-08 5.505896e-08 7.855643e-08 -1.704273e-07 1.000000e+00 9.999931e-01
7.006800e-01 2.527236e-05 2.527236e-05 -1.426646e-08 -2.689547e-08 5.817340e-01 1.215588e+00 2.527236e-01 2.527236e-01 -6.513753e-08 -6.873069e-08 5.518372e-08 7.868449e-08 -7.108875e-08 1.000000e+00 9.999932e-01
7.007200e-01 2.527102e-05 2.527102e-05 -1.416071e-08 -2.714773e-08 5.817361e-01 1.215579e+00 2.527102e-01 2.527102e-01 -6.461593e-08 -6.950662e-08 5.530975e-08 7.881279e-08 -9.676480e-08 1.000000e+00 9.999932e-01
7.007600e-01 2.526968e-05 2.526968e-05 -1.411980e-08 -2.729225e-08 5.817369e-01 1.215574e+00 2.526968e-01 2.526968e-01 -6.441864e-08 -6.996193e-08 5.543758e-08 7.894299e-08 -1.096826e-07 1.000000e+00 9.999932e-01
7.008000e-01 2.526835e-05 2.526835e-05 -1.402887e-08 -2.752091e-08 5.817387e-01 1.215566e+00 2.526835e-01 2.526835e-01 -6.397135e-08 -7.067076e-08 5.556720e-08 7.907491e-08 -1.325652e-07 1.000000e+00 9.999932e-01
