# ###########
# [default parameters]
#   OrderedDict([('NL', '15'), ('NR', '15'), ('eLu', '0.7085'), ('eLd', '0.7085'), ('eRu', '0.7085'), ('eRd', '0.7085'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('muL', 'x'), ('muR', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-4.200000e-01 1.181639e-06 1.181639e-06 -3.220319e-07 3.286187e-07 5.754681e-01 1.225278e+00 4.712175e-01 4.712404e-01 -1.637765e-06 9.582042e-07 3.390064e-07 3.405541e-07 2.615384e+00 9.999923e-01 9.984662e-01
-4.400000e-01 1.237779e-06 1.237779e-06 -3.373719e-07 3.440212e-07 5.751579e-01 1.225781e+00 4.709691e-01 4.709921e-01 -1.715302e-06 1.003583e-06 3.550491e-07 3.566694e-07 2.496117e+00 9.999923e-01 9.984657e-01
-4.600000e-01 1.293906e-06 1.293906e-06 -3.527025e-07 3.594164e-07 5.748479e-01 1.226284e+00 4.707206e-01 4.707436e-01 -1.792794e-06 1.048937e-06 3.710819e-07 3.727748e-07 2.387220e+00 9.999923e-01 9.984651e-01
-4.800000e-01 1.350018e-06 1.350018e-06 -3.680234e-07 3.748042e-07 5.745381e-01 1.226787e+00 4.704719e-01 4.704950e-01 -1.870241e-06 1.094266e-06 3.871046e-07 3.888700e-07 2.287398e+00 9.999924e-01 9.984646e-01
-5.000000e-01 1.406116e-06 1.406116e-06 -3.833347e-07 3.901844e-07 5.742285e-01 1.227290e+00 4.702230e-01 4.702462e-01 -1.947642e-06 1.139570e-06 4.031173e-07 4.049550e-07 2.195561e+00 9.999924e-01 9.984641e-01
-5.200000e-01 1.462198e-06 1.462198e-06 -3.986362e-07 4.055570e-07 5.739190e-01 1.227792e+00 4.699741e-01 4.699972e-01 -2.024998e-06 1.184848e-06 4.191198e-07 4.210298e-07 2.110788e+00 9.999924e-01 9.984635e-01
-5.400000e-01 1.518265e-06 1.518265e-06 -4.139279e-07 4.209219e-07 5.736098e-01 1.228294e+00 4.697249e-01 4.697481e-01 -2.102306e-06 1.230100e-06 4.351120e-07 4.370941e-07 2.032294e+00 9.999924e-01 9.984630e-01
-5.600000e-01 1.574317e-06 1.574317e-06 -4.292097e-07 4.362790e-07 5.733007e-01 1.228796e+00 4.694756e-01 4.694989e-01 -2.179568e-06 1.275327e-06 4.510938e-07 4.531480e-07 1.959407e+00 9.999924e-01 9.984624e-01
-5.800000e-01 1.630353e-06 1.630353e-06 -4.444814e-07 4.516283e-07 5.729918e-01 1.229297e+00 4.692261e-01 4.692495e-01 -2.256783e-06 1.320526e-06 4.670652e-07 4.691912e-07 1.891546e+00 9.999924e-01 9.984619e-01
-6.000000e-01 1.686373e-06 1.686373e-06 -4.597430e-07 4.669695e-07 5.726831e-01 1.229798e+00 4.689765e-01 4.689999e-01 -2.333949e-06 1.365700e-06 4.830259e-07 4.852238e-07 1.828208e+00 9.999924e-01 9.984614e-01
-6.200000e-01 1.742376e-06 1.742376e-06 -4.749944e-07 4.823026e-07 5.723746e-01 1.230299e+00 4.687268e-01 4.687502e-01 -2.411068e-06 1.410846e-06 4.989760e-07 5.012456e-07 1.768957e+00 9.999924e-01 9.984608e-01
-6.400000e-01 1.798362e-06 1.798362e-06 -4.902355e-07 4.976276e-07 5.720663e-01 1.230800e+00 4.684769e-01 4.685003e-01 -2.488137e-06 1.455965e-06 5.149153e-07 5.172565e-07 1.713409e+00 9.999924e-01 9.984603e-01
-6.600000e-01 1.854332e-06 1.854332e-06 -5.054662e-07 5.129444e-07 5.717582e-01 1.231300e+00 4.682268e-01 4.682503e-01 -2.565157e-06 1.501057e-06 5.308438e-07 5.332565e-07 1.661227e+00 9.999924e-01 9.984597e-01
-6.800000e-01 1.910283e-06 1.910283e-06 -5.206865e-07 5.282528e-07 5.714503e-01 1.231800e+00 4.679767e-01 4.680002e-01 -2.642128e-06 1.546121e-06 5.467613e-07 5.492454e-07 1.612114e+00 9.999924e-01 9.984592e-01
-7.000000e-01 1.966218e-06 1.966218e-06 -5.358962e-07 5.435528e-07 5.711426e-01 1.232299e+00 4.677263e-01 4.677499e-01 -2.719048e-06 1.591157e-06 5.626677e-07 5.652231e-07 1.565807e+00 9.999925e-01 9.984587e-01
-7.200000e-01 2.022134e-06 2.022134e-06 -5.510953e-07 5.588443e-07 5.708351e-01 1.232799e+00 4.674758e-01 4.674995e-01 -2.795918e-06 1.636165e-06 5.785630e-07 5.811896e-07 1.522073e+00 9.999925e-01 9.984581e-01
-7.400000e-01 2.078031e-06 2.078031e-06 -5.662836e-07 5.741272e-07 5.705278e-01 1.233298e+00 4.672252e-01 4.672489e-01 -2.872737e-06 1.681145e-06 5.944471e-07 5.971447e-07 1.480703e+00 9.999925e-01 9.984576e-01
-7.600000e-01 2.133911e-06 2.133911e-06 -5.814612e-07 5.894013e-07 5.702207e-01 1.233796e+00 4.669745e-01 4.669982e-01 -2.949504e-06 1.726096e-06 6.103198e-07 6.130884e-07 1.441510e+00 9.999925e-01 9.984571e-01
-7.800000e-01 2.189771e-06 2.189771e-06 -5.966278e-07 6.046668e-07 5.699138e-01 1.234295e+00 4.667235e-01 4.667473e-01 -3.026220e-06 1.771018e-06 6.261811e-07 6.290205e-07 1.404326e+00 9.999925e-01 9.984565e-01
-8.000000e-01 2.245612e-06 2.245612e-06 -6.117834e-07 6.199233e-07 5.696071e-01 1.234792e+00 4.664725e-01 4.664963e-01 -3.102883e-06 1.815911e-06 6.420309e-07 6.449410e-07 1.369002e+00 9.999925e-01 9.984560e-01
-8.200000e-01 2.301433e-06 2.301433e-06 -6.269280e-07 6.351709e-07 5.693006e-01 1.235290e+00 4.662213e-01 4.662452e-01 -3.179493e-06 1.860774e-06 6.578691e-07 6.608498e-07 1.335400e+00 9.999925e-01 9.984554e-01
-8.400000e-01 2.357235e-06 2.357235e-06 -6.420615e-07 6.504095e-07 5.689944e-01 1.235787e+00 4.659700e-01 4.659939e-01 -3.256050e-06 1.905608e-06 6.736956e-07 6.767467e-07 1.303398e+00 9.999925e-01 9.984549e-01
-8.600000e-01 2.413016e-06 2.413016e-06 -6.571837e-07 6.656389e-07 5.686883e-01 1.236284e+00 4.657186e-01 4.657425e-01 -3.332554e-06 1.950412e-06 6.895103e-07 6.926318e-07 1.272885e+00 9.999925e-01 9.984544e-01
-8.800000e-01 2.468777e-06 2.468777e-06 -6.722945e-07 6.808591e-07 5.683825e-01 1.236781e+00 4.654670e-01 4.654910e-01 -3.409004e-06 1.995186e-06 7.053131e-07 7.085048e-07 1.243758e+00 9.999925e-01 9.984538e-01
-9.000000e-01 2.524517e-06 2.524517e-06 -6.873940e-07 6.960701e-07 5.680769e-01 1.237277e+00 4.652153e-01 4.652393e-01 -3.485399e-06 2.039929e-06 7.211039e-07 7.243658e-07 1.215926e+00 9.999926e-01 9.984533e-01
-9.200000e-01 2.580236e-06 2.580236e-06 -7.024820e-07 7.112716e-07 5.677715e-01 1.237773e+00 4.649634e-01 4.649875e-01 -3.561739e-06 2.084642e-06 7.368827e-07 7.402145e-07 1.189304e+00 9.999926e-01 9.984527e-01
-9.400000e-01 2.635934e-06 2.635934e-06 -7.175584e-07 7.264637e-07 5.674664e-01 1.238269e+00 4.647115e-01 4.647356e-01 -3.638024e-06 2.129323e-06 7.526493e-07 7.560510e-07 1.163814e+00 9.999926e-01 9.984522e-01
-9.600000e-01 2.691610e-06 2.691610e-06 -7.326231e-07 7.416462e-07 5.671614e-01 1.238764e+00 4.644594e-01 4.644835e-01 -3.714253e-06 2.173974e-06 7.684036e-07 7.718751e-07 1.139387e+00 9.999926e-01 9.984517e-01
-9.800000e-01 2.747264e-06 2.747264e-06 -7.476761e-07 7.568191e-07 5.668567e-01 1.239259e+00 4.642071e-01 4.642313e-01 -3.790425e-06 2.218593e-06 7.841457e-07 7.876868e-07 1.115956e+00 9.999926e-01 9.984511e-01
-1.000000e+00 2.802896e-06 2.802896e-06 -7.627173e-07 7.719823e-07 5.665522e-01 1.239754e+00 4.639548e-01 4.639790e-01 -3.866542e-06 2.263180e-06 7.998753e-07 8.034859e-07 1.093462e+00 9.999926e-01 9.984506e-01
-1.020000e+00 2.858505e-06 2.858505e-06 -7.777466e-07 7.871357e-07 5.662479e-01 1.240248e+00 4.637023e-01 4.637266e-01 -3.942601e-06 2.307736e-06 8.155923e-07 8.192724e-07 1.071851e+00 9.999926e-01 9.984500e-01
-1.040000e+00 2.914091e-06 2.914091e-06 -7.927639e-07 8.022792e-07 5.659439e-01 1.240742e+00 4.634497e-01 4.634740e-01 -4.018603e-06 2.352260e-06 8.312968e-07 8.350462e-07 1.051070e+00 9.999926e-01 9.984495e-01
-1.060000e+00 2.969655e-06 2.969655e-06 -8.077691e-07 8.174127e-07 5.656401e-01 1.241236e+00 4.631970e-01 4.632213e-01 -4.094546e-06 2.396751e-06 8.469886e-07 8.508071e-07 1.031074e+00 9.999926e-01 9.984489e-01
-1.080000e+00 3.025194e-06 3.025194e-06 -8.227622e-07 8.325362e-07 5.653365e-01 1.241729e+00 4.629441e-01 4.629685e-01 -4.170432e-06 2.441209e-06 8.626676e-07 8.665551e-07 1.011818e+00 9.999926e-01 9.984484e-01
-1.100000e+00 3.080710e-06 3.080710e-06 -8.377431e-07 8.476495e-07 5.650332e-01 1.242222e+00 4.626912e-01 4.627156e-01 -4.246259e-06 2.485635e-06 8.783338e-07 8.822902e-07 9.932618e-01 9.999926e-01 9.984479e-01
-1.120000e+00 3.136202e-06 3.136202e-06 -8.527116e-07 8.627526e-07 5.647301e-01 1.242714e+00 4.624381e-01 4.624625e-01 -4.322027e-06 2.530027e-06 8.939870e-07 8.980121e-07 9.753685e-01 9.999927e-01 9.984473e-01
-1.140000e+00 3.191670e-06 3.191670e-06 -8.676678e-07 8.778454e-07 5.644272e-01 1.243206e+00 4.621849e-01 4.622094e-01 -4.397735e-06 2.574387e-06 9.096272e-07 9.137209e-07 9.581029e-01 9.999927e-01 9.984468e-01
-1.160000e+00 3.247113e-06 3.247113e-06 -8.826115e-07 8.929279e-07 5.641246e-01 1.243698e+00 4.619316e-01 4.619561e-01 -4.473383e-06 2.618713e-06 9.252542e-07 9.294165e-07 9.414326e-01 9.999927e-01 9.984462e-01
-1.180000e+00 3.302531e-06 3.302531e-06 -8.975426e-07 9.079998e-07 5.638222e-01 1.244189e+00 4.616781e-01 4.617027e-01 -4.548971e-06 2.663004e-06 9.408680e-07 9.450987e-07 9.253273e-01 9.999927e-01 9.984457e-01
-1.200000e+00 3.357923e-06 3.357923e-06 -9.124611e-07 9.230613e-07 5.635201e-01 1.244680e+00 4.614246e-01 4.614492e-01 -4.624498e-06 2.707262e-06 9.564685e-07 9.607675e-07 9.097588e-01 9.999927e-01 9.984452e-01
-1.220000e+00 3.413291e-06 3.413291e-06 -9.273669e-07 9.381120e-07 5.632182e-01 1.245170e+00 4.611709e-01 4.611956e-01 -4.699965e-06 2.751486e-06 9.720557e-07 9.764227e-07 8.947006e-01 9.999927e-01 9.984446e-01
-1.240000e+00 3.468632e-06 3.468632e-06 -9.422600e-07 9.531521e-07 5.629166e-01 1.245661e+00 4.609172e-01 4.609419e-01 -4.775369e-06 2.795675e-06 9.876294e-07 9.920644e-07 8.801281e-01 9.999927e-01 9.984441e-01
-1.260000e+00 3.523947e-06 3.523947e-06 -9.571402e-07 9.681814e-07 5.626152e-01 1.246150e+00 4.606633e-01 4.606880e-01 -4.850712e-06 2.839830e-06 1.003189e-06 1.007692e-06 8.660182e-01 9.999927e-01 9.984435e-01
-1.280000e+00 3.579236e-06 3.579236e-06 -9.720074e-07 9.831998e-07 5.623140e-01 1.246640e+00 4.604093e-01 4.604341e-01 -4.925992e-06 2.883949e-06 1.018736e-06 1.023307e-06 8.523491e-01 9.999927e-01 9.984430e-01
-1.300000e+00 3.634498e-06 3.634498e-06 -9.868616e-07 9.982073e-07 5.620131e-01 1.247129e+00 4.601552e-01 4.601800e-01 -5.001209e-06 2.928034e-06 1.034269e-06 1.038907e-06 8.391005e-01 9.999927e-01 9.984424e-01
-1.320000e+00 3.689733e-06 3.689733e-06 -1.001703e-06 1.013204e-06 5.617125e-01 1.247617e+00 4.599010e-01 4.599259e-01 -5.076364e-06 2.972083e-06 1.049788e-06 1.054493e-06 8.262533e-01 9.999927e-01 9.984419e-01
-1.340000e+00 3.744941e-06 3.744941e-06 -1.016531e-06 1.028189e-06 5.614121e-01 1.248106e+00 4.596467e-01 4.596716e-01 -5.151455e-06 3.016096e-06 1.065293e-06 1.070066e-06 8.137895e-01 9.999928e-01 9.984414e-01
-1.360000e+00 3.800121e-06 3.800121e-06 -1.031345e-06 1.043163e-06 5.611119e-01 1.248593e+00 4.593923e-01 4.594173e-01 -5.226482e-06 3.060074e-06 1.080784e-06 1.085624e-06 8.016923e-01 9.999928e-01 9.984408e-01
